id,candidato,fecha
30,16,2019-02-03T16:13:13.649130
31,9,2019-02-04T22:14:04.368663
32,4,2019-02-05T13:03:33.624680
33,19,2019-02-05T16:06:41.040221
34,18,2019-02-05T16:39:54.482634
35,20,2019-02-06T16:33:27.625946
36,17,2019-02-06T16:47:40.714679
37,4,2019-02-06T16:51:44.308477
38,3,2019-02-06T16:52:06.318997
39,3,2019-02-06T17:00:09.220160
40,20,2019-02-06T17:14:00.246469
41,3,2019-02-06T17:14:33.621159
42,3,2019-02-06T17:44:43.482259
43,4,2019-02-06T18:10:29.764231
44,3,2019-02-06T18:30:28.400279
45,4,2019-02-06T18:33:14.986788
46,16,2019-02-06T18:33:36.799470
47,3,2019-02-06T22:02:08.552799
48,3,2019-02-07T03:45:47.511548
49,17,2019-02-07T12:51:33.808527
50,20,2019-02-07T14:54:39.456292
51,18,2019-02-07T14:59:03.991698
52,17,2019-02-07T15:01:42.347442
53,4,2019-02-07T15:06:01.153433
54,18,2019-02-07T15:07:20.471282
55,4,2019-02-07T15:07:50.534203
56,17,2019-02-07T15:09:14.571197
57,3,2019-02-07T15:10:43.354845
58,4,2019-02-07T15:16:35.745799
59,2,2019-02-07T15:18:26.451945
60,3,2019-02-07T15:20:58.874500
61,17,2019-02-07T15:23:59.136552
62,4,2019-02-07T15:27:01.665517
63,4,2019-02-07T15:31:46.418950
64,9,2019-02-07T15:32:59.559890
65,11,2019-02-07T15:47:22.141408
66,9,2019-02-07T15:47:58.011452
67,4,2019-02-07T15:50:11.615508
68,17,2019-02-07T15:52:55.295532
69,19,2019-02-07T16:08:09.657472
70,18,2019-02-07T16:16:45.696393
71,18,2019-02-07T16:21:52.860343
72,14,2019-02-07T16:30:19.959605
73,21,2019-02-07T16:33:09.617313
74,17,2019-02-07T16:35:03.086089
75,2,2019-02-07T16:43:03.790337
76,4,2019-02-07T16:43:56.709570
77,17,2019-02-07T16:46:44.636858
78,10,2019-02-07T16:51:13.261421
79,17,2019-02-07T16:56:57.004455
80,19,2019-02-07T17:08:25.274520
81,4,2019-02-07T17:10:39.107784
82,17,2019-02-07T17:14:17.424079
83,21,2019-02-07T17:31:50.433959
84,18,2019-02-07T17:36:24.435305
85,4,2019-02-07T17:37:22.474420
86,4,2019-02-07T17:37:22.692707
87,3,2019-02-07T17:40:44.657643
88,4,2019-02-07T17:41:17.211965
89,17,2019-02-07T17:41:17.228576
90,20,2019-02-07T17:44:07.206491
91,4,2019-02-07T17:54:24.851040
92,11,2019-02-07T17:55:57.746079
93,4,2019-02-07T17:57:51.162206
94,16,2019-02-07T18:01:18.522167
95,9,2019-02-07T18:05:31.348146
96,11,2019-02-07T18:07:27.683650
97,9,2019-02-07T18:08:35.224375
98,17,2019-02-07T18:10:12.543443
99,9,2019-02-07T18:13:32.506046
100,20,2019-02-07T18:17:25.611401
101,4,2019-02-07T18:18:09.771422
102,3,2019-02-07T18:18:10.902648
103,4,2019-02-07T18:21:13.139755
104,4,2019-02-07T18:22:12.421854
105,9,2019-02-07T18:22:21.154173
106,4,2019-02-07T18:22:44.342417
107,2,2019-02-07T18:31:58.239638
108,4,2019-02-07T18:35:05.820276
109,10,2019-02-07T18:38:09.324999
110,4,2019-02-07T18:39:00.299525
111,2,2019-02-07T18:43:56.585016
112,3,2019-02-07T18:44:53.855323
113,3,2019-02-07T18:46:37.919830
114,10,2019-02-07T18:47:09.942523
115,4,2019-02-07T18:48:34.995006
116,17,2019-02-07T18:53:28.027669
117,9,2019-02-07T18:53:39.892084
118,3,2019-02-07T18:56:01.771168
119,9,2019-02-07T19:00:36.354889
120,17,2019-02-07T19:02:10.138141
121,4,2019-02-07T19:07:34.419120
122,3,2019-02-07T19:09:49.295135
123,17,2019-02-07T19:10:40.327925
124,17,2019-02-07T19:24:29.051231
125,21,2019-02-07T19:26:06.035582
126,4,2019-02-07T19:36:07.132077
127,18,2019-02-07T19:36:36.659778
128,11,2019-02-07T19:38:47.820497
129,4,2019-02-07T19:46:50.710304
130,3,2019-02-07T19:47:43.447487
131,3,2019-02-07T19:47:45.567616
132,4,2019-02-07T19:54:31.720228
133,3,2019-02-07T20:04:05.911767
134,11,2019-02-07T20:25:01.793179
135,16,2019-02-07T20:37:46.511536
136,4,2019-02-07T20:49:49.232812
137,21,2019-02-07T21:10:48.720127
138,18,2019-02-07T21:12:59.034298
139,21,2019-02-07T21:15:15.296301
140,4,2019-02-07T21:17:39.287849
141,4,2019-02-07T21:21:29.372024
142,4,2019-02-07T21:23:23.285228
143,17,2019-02-07T21:23:37.465256
144,17,2019-02-07T21:39:15.799834
145,16,2019-02-07T21:42:54.157262
146,16,2019-02-07T22:16:39.294152
147,17,2019-02-07T22:26:53.759413
148,3,2019-02-07T22:28:22.177444
149,1,2019-02-07T22:31:59.207893
150,6,2019-02-07T22:35:48.215536
151,11,2019-02-07T22:37:43.636203
152,11,2019-02-07T22:52:37.863205
153,16,2019-02-07T23:00:28.357841
154,4,2019-02-07T23:13:33.649465
155,17,2019-02-07T23:13:51.295618
156,3,2019-02-07T23:51:04.200861
157,17,2019-02-08T00:39:30.995438
158,2,2019-02-08T01:08:23.979264
159,4,2019-02-08T01:47:25.914415
160,18,2019-02-08T02:22:28.327267
161,17,2019-02-08T02:25:03.430759
162,11,2019-02-08T02:36:00.395938
163,17,2019-02-08T02:44:08.049703
164,17,2019-02-08T03:22:35.590031
165,20,2019-02-08T04:13:29.669508
166,3,2019-02-08T05:28:24.820211
167,4,2019-02-08T09:50:34.799715
168,17,2019-02-08T17:31:36.879874
169,20,2019-02-08T18:41:09.562800
170,18,2019-02-08T19:46:28.980212
171,17,2019-02-08T22:46:00.425774
172,4,2019-02-08T23:49:13.194857
